Strata;Plot;Individuals;Specie;Height;Diameter;Volume
1;3;1392;Pityrocarpa moniliformis;3;6.366197724;0.008573258
1;3;1393;Anadenanthera colubrina;5;9.549296586;0.024040624
1;3;1394;morta;4;9.549296586;0.020945163
1;3;1395;Diptychandra aurantiaca;4;3.660563691;0.003856453
1;3;1395;Diptychandra aurantiaca;4;3.278591828;0.00317486
1;3;1395;Diptychandra aurantiaca;4;4.456338407;0.005456995
1;3;1396;morta;4;3.819718634;0.00415726
1;3;1397;morta;4;5.729577951;0.008502948
1;3;1398;morta;4;3.183098862;0.00301349
1;3;1399;Pityrocarpa moniliformis;3;5.092958179;0.005782572
1;3;1400;Pityrocarpa moniliformis;4;7.639437268;0.014127291
1;3;1401;Pityrocarpa moniliformis;5;10.59971921;0.028902194
1;3;1402;Pityrocarpa moniliformis;4;7.639437268;0.014127291
1;3;1403;Pityrocarpa moniliformis;4;8.276057041;0.016270704
1;3;1404;morta;3;5.092958179;0.005782572
1;3;1405;Pityrocarpa moniliformis;4;8.276057041;0.016270704
1;3;1406;Pityrocarpa moniliformis;4;7.957747155;0.015182604
1;3;1407;Pityrocarpa moniliformis;3;5.411268065;0.006435552
1;3;1408;Pityrocarpa moniliformis;4;12.09577567;0.031787779
1;3;1409;Diptychandra aurantiaca;4;6.366197724;0.010240506
1;3;1409;Diptychandra aurantiaca;4;7.130141451;0.012507784
1;3;1409;Diptychandra aurantiaca;4;7.352958371;0.013205804
1;3;1410;Pityrocarpa moniliformis;5;14.32394488;0.049170889
1;3;1411;morta;3;3.183098862;0.002522866
1;3;1412;Diptychandra aurantiaca;4;3.183098862;0.00301349
1;3;1412;Diptychandra aurantiaca;4;5.252113122;0.007292577
1;3;1412;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;3;1412;Diptychandra aurantiaca;4;4.13802852;0.004788005
1;3;1412;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;3;1413;Anadenanthera colubrina;3;4.13802852;0.004008474
1;3;1414;Pityrocarpa moniliformis;5;7.257465405;0.014811803
1;3;1414;Pityrocarpa moniliformis;5;7.321127382;0.015041867
1;3;1415;Pityrocarpa moniliformis;6.5;17.95267758;0.08613063
1;3;1415;Pityrocarpa moniliformis;6.5;13.40084621;0.051408608
1;3;1415;Pityrocarpa moniliformis;6.5;14.96056465;0.062433854
1;3;1416;Pityrocarpa moniliformis;4.5;7.639437268;0.015193441
1;3;1417;Pityrocarpa moniliformis;4.5;5.665915974;0.008966092
1;3;1417;Pityrocarpa moniliformis;4.5;6.047887837;0.01006018
1;3;1418;Diptychandra aurantiaca;2;4.13802852;0.003120371
1;3;1419;Pityrocarpa moniliformis;4.5;8.912676813;0.019943552
1;3;1419;Pityrocarpa moniliformis;4.5;7.766761223;0.01564317
1;3;1420;Pityrocarpa moniliformis;3;6.68450761;0.009344161
1;3;1421;Pityrocarpa moniliformis;4.5;7.639437268;0.015193441
2;4;1422;morta;2;3.087605896;0.001861129
2;4;1423;Senegalia tenuifolia;4;12.73239545;0.034799509
2;4;1424;morta;2;3.183098862;0.001963909
2;4;1425;Senegalia tenuifolia;2;3.087605896;0.001861129
2;4;1426;Luetzelburgia andrade-limae;4;9.549296586;0.020945163
2;4;1427;morta;3;4.456338407;0.004568546
2;4;1428;Luetzelburgia andrade-limae;4;10.3450713;0.024122994
2;4;1429;morta;1.5;3.183098862;0.001644167
2;4;1430;morta;1.5;3.183098862;0.001644167
2;4;1431;Manihot caerulescens;2;3.819718634;0.002709311
2;4;1432;Luetzelburgia andrade-limae;4;4.647324338;0.005876467
2;4;1433;morta;4;3.183098862;0.00301349
2;4;1434;Manihot caerulescens;4;10.37690229;0.024254138
2;4;1435;Anadenanthera colubrina;3;3.660563691;0.003228587
2;4;1436;morta;2;3.501408748;0.002323648
2;4;1437;Astronium urundeuva;3;4.647324338;0.004919725
2;4;1438;Luetzelburgia andrade-limae;4;6.589014644;0.010881477
2;4;1439;Manihot caerulescens;4;3.183098862;0.00301349
2;4;1440;morta;2;3.501408748;0.002323648
2;4;1441;Manihot caerulescens;3;7.894085177;0.012531833
2;4;1442;morta;2;3.183098862;0.001963909
2;4;1443;Senegalia tenuifolia;3;5.729577951;0.00711859
2;4;1444;morta;3;6.366197724;0.008573258
2;4;1445;Manihot caerulescens;3;8.53070495;0.014370037
2;4;1446;morta;3;3.501408748;0.002984992
2;4;1447;morta;1;3.501408748;0.001514335
2;4;1448;Luetzelburgia andrade-limae;4;4.456338407;0.005456995
2;4;1449;Luetzelburgia andrade-limae;4;5.729577951;0.008502948
2;4;1449;Luetzelburgia andrade-limae;4;8.276057041;0.016270704
2;4;1449;Luetzelburgia andrade-limae;4;6.047887837;0.009354239
2;4;1450;Luetzelburgia bahiensis;4;3.501408748;0.003565485
2;4;1451;morta;3;3.819718634;0.00348042
2;4;1452;Luetzelburgia andrade-limae;5;11.30000096;0.032356659
2;4;1453;Luetzelburgia andrade-limae;4;5.729577951;0.008502948
2;4;1454;morta;2;3.501408748;0.002323648
2;4;1455;morta;3;4.456338407;0.004568546
2;4;1456;Diptychandra aurantiaca;4.5;8.276057041;0.017498613
2;4;1457;Luetzelburgia andrade-limae;4;6.366197724;0.010240506
2;4;1458;Senegalia tenuifolia;4.5;14.64225476;0.04789484
2;4;1459;Luetzelburgia andrade-limae;4.5;9.549296586;0.022525841
2;4;1460;Senegalia tenuifolia;5;11.4591559;0.033165245
2;5;1461;Senegalia tenuifolia;4.5;10.98169107;0.028826993
2;5;1462;Manihot caerulescens;3;4.13802852;0.004008474
2;5;1463;Cordia oncocalyx;4.5;9.071831756;0.020576337
2;5;1463;Cordia oncocalyx;4.5;8.276057041;0.017498613
2;5;1463;Cordia oncocalyx;4.5;6.047887837;0.01006018
2;5;1463;Cordia oncocalyx;4.5;6.68450761;0.012003645
2;5;1464;Senegalia tenuifolia;4;6.047887837;0.009354239
2;5;1464;Senegalia tenuifolia;4;7.639437268;0.014127291
2;5;1464;Senegalia tenuifolia;4;6.366197724;0.010240506
2;5;1465;Handroanthus selachidentatus;3;4.297183463;0.004284544
2;5;1466;Terminalia fagifolia;2;8.912676813;0.012085285
2;5;1466;Terminalia fagifolia;2;5.729577951;0.005541421
2;5;1467;Handroanthus selachidentatus;4;6.238873769;0.00988183
2;5;1468;Senna rugosa;3;4.551831372;0.004742727
2;5;1469;Pityrocarpa moniliformis;3;6.68450761;0.009344161
2;5;1469;Pityrocarpa moniliformis;3;5.092958179;0.005782572
2;5;1470;morta;2;3.501408748;0.002323648
2;5;1471;Handroanthus selachidentatus;3;3.310422816;0.002703674
2;5;1472;Pityrocarpa moniliformis;3;4.61549335;0.004860413
2;5;1472;Pityrocarpa moniliformis;3;3.819718634;0.00348042
2;5;1472;Pityrocarpa moniliformis;3;4.13802852;0.004008474
2;5;1472;Pityrocarpa moniliformis;3;4.520000384;0.004684353
