Strata;Plot;Individuals;Specie;Height;Diameter
2;4;1439;Manihot caerulescens;4;3.183098862
2;4;1440;morta;2;3.501408748
2;4;1441;Manihot caerulescens;3;7.894085177
2;4;1442;morta;2;3.183098862
2;4;1443;Senegalia tenuifolia;3;5.729577951
2;4;1444;morta;3;6.366197724
2;4;1445;Manihot caerulescens;3;8.53070495
2;4;1446;morta;3;3.501408748
2;4;1447;morta;1;3.501408748
2;4;1448;Luetzelburgia andrade-limae;4;4.456338407
2;4;1449;Luetzelburgia andrade-limae;4;5.729577951
2;4;1449;Luetzelburgia andrade-limae;4;8.276057041
2;4;1449;Luetzelburgia andrade-limae;4;6.047887837
2;4;1450;Luetzelburgia bahiensis;4;3.501408748
2;4;1451;morta;3;3.819718634
2;4;1452;Luetzelburgia andrade-limae;5;11.30000096
2;4;1453;Luetzelburgia andrade-limae;4;5.729577951
2;4;1454;morta;2;3.501408748
2;4;1455;morta;3;4.456338407
2;4;1456;Diptychandra aurantiaca;4.5;8.276057041
2;4;1457;Luetzelburgia andrade-limae;4;6.366197724
2;4;1458;Senegalia tenuifolia;4.5;14.64225476
2;4;1459;Luetzelburgia andrade-limae;4.5;9.549296586
2;4;1460;Senegalia tenuifolia;5;11.4591559
2;5;1461;Senegalia tenuifolia;4.5;10.98169107
2;5;1462;Manihot caerulescens;3;4.13802852
2;5;1463;Cordia oncocalyx;4.5;9.071831756
2;5;1463;Cordia oncocalyx;4.5;8.276057041
2;5;1463;Cordia oncocalyx;4.5;6.047887837
2;5;1463;Cordia oncocalyx;4.5;6.68450761
2;5;1464;Senegalia tenuifolia;4;6.047887837
2;5;1464;Senegalia tenuifolia;4;7.639437268
2;5;1464;Senegalia tenuifolia;4;6.366197724
2;5;1465;Handroanthus selachidentatus;3;4.297183463
2;5;1466;Terminalia fagifolia;2;8.912676813
2;5;1466;Terminalia fagifolia;2;5.729577951
2;5;1467;Handroanthus selachidentatus;4;6.238873769
2;5;1468;Senna rugosa;3;4.551831372
2;5;1469;Pityrocarpa moniliformis;3;6.68450761
2;5;1469;Pityrocarpa moniliformis;3;5.092958179
2;5;1470;morta;2;3.501408748
2;5;1471;Handroanthus selachidentatus;3;3.310422816
2;5;1472;Pityrocarpa moniliformis;3;4.61549335
2;5;1472;Pityrocarpa moniliformis;3;3.819718634
2;5;1472;Pityrocarpa moniliformis;3;4.13802852
2;5;1472;Pityrocarpa moniliformis;3;4.520000384
2;5;1473;Pityrocarpa moniliformis;2;4.13802852
2;5;1474;Handroanthus selachidentatus;2.5;4.297183463
2;5;1475;Handroanthus selachidentatus;3.5;6.68450761
2;5;1476;Cenostigma bracteosum;2.5;3.501408748
2;5;1477;Handroanthus selachidentatus;2.5;3.183098862
2;5;1478;Handroanthus selachidentatus;2;3.087605896
2;5;1479;Handroanthus selachidentatus;3;3.819718634
2;5;1480;Handroanthus selachidentatus;3;4.13802852
2;5;1481;Pityrocarpa moniliformis;2;5.411268065
2;5;1482;Ziziphus joazeiro;3;6.302535746
2;5;1483;Cnidoscolus quercifolius;5;17.18873385
2;5;1484;morta;3;6.366197724
2;5;1485;Pityrocarpa moniliformis;2.5;4.13802852
2;5;1486;Handroanthus selachidentatus;2;5.729577951
2;5;1486;Handroanthus selachidentatus;2;3.501408748
2;5;1487;Handroanthus selachidentatus;2.5;3.501408748
2;5;1488;Handroanthus selachidentatus;3;5.729577951
2;5;1489;Handroanthus selachidentatus;2;3.819718634
2;5;1490;Handroanthus selachidentatus;3;3.565070725
2;5;1491;Handroanthus selachidentatus;4;5.379437077
2;5;1492;Diptychandra aurantiaca;3;3.087605896
2;5;1493;Cenostigma bracteosum;3;3.087605896
