"Stratum" "Plot" "Individual" "Specie" "h" "d" "Volume (m3)"
"65" 1 2 65 "Maprounea guianensis" 4 10.19 0.0311505153385967
"66" 1 2 66 "Qualya parvifora" 3 9.87 0.0264046644894866
"67" 1 2 67 "Dimorphandra molles" 4.5 9.55 0.0274840736144054
"68" 1 2 68 "Stenocalyx dysentericus" 4 9.55 0.0265298149681613
"69" 1 2 69 "Qualya parvifora" 2 9.23 0.0198052408472026
"70" 1 2 70 "Qualya parvifora" 2.5 8.59 0.0177257651251468
"71" 1 2 71 "Machaerium opacum" 4 8.28 0.0186351460915437
"72" 1 2 72 "Annona cacans" 3.5 8.28 0.0179033351559879
"73" 1 2 73 "Vochysia elliptica" 3.5 8.28 0.0179033351559879
"74" 1 2 74 "Qualya parvifora" 3.5 8.28 0.0179033351559879
"75" 1 2 75 "Qualya parvifora" 3 8.28 0.0170941862751468
"76" 1 2 76 "Qualya parvifora" 3 8.28 0.0170941862751468
"77" 1 2 77 "Stenocalyx dysentericus" 3 8.28 0.0170941862751468
"78" 1 2 78 "Stenocalyx dysentericus" 2.5 8.28 0.0161842402340616
"79" 1 2 79 "Qualya parvifora" 2 8.28 0.0151362112518576
"80" 1 2 80 "Qualya parvifora" 4 7.96 0.0169029515076119
"81" 1 2 81 "Cariocar braziliense" 3.5 7.96 0.016239164666571
"82" 1 2 82 "Qualya parvifora" 3 7.96 0.0155052286819478
"83" 1 2 83 "Stenocalyx dysentericus" 3.5 7.32 0.0131964799667168
"84" 1 2 84 "Stenocalyx dysentericus" 3 7.32 0.0126000594169658
"85" 1 2 85 "Stenocalyx dysentericus" 3 7.32 0.0126000594169658
"86" 1 2 86 "Qualya parvifora" 3 7.32 0.0126000594169658
"87" 1 2 87 "Byrsonima crassifólia" 3 7.32 0.0126000594169658
"88" 1 2 88 "Machaerium opacum" 2 7.32 0.0111568435052352
"89" 1 2 89 "Stenocalyx dysentericus" 2 7.32 0.0111568435052352
"90" 1 2 90 "Stenocalyx dysentericus" 3 7 0.0112802734703826
"91" 1 2 91 "Stenocalyx dysentericus" 3 7 0.0112802734703826
"92" 1 2 92 "Annona cacans" 3 7 0.0112802734703826
"93" 1 2 93 "Stenocalyx dysentericus" 2.5 7 0.0106798096623067
"94" 1 2 94 "Qualya parvifora" 2 7 0.00998822637581031
"95" 1 2 95 "Stenocalyx dysentericus" 4 6.68 0.0109522195079523
"96" 1 2 96 "Qualya parvifora" 3.5 6.68 0.0105221207061959
"97" 1 2 97 "Machaerium opacum" 3.5 6.68 0.0105221207061959
"98" 1 2 98 "Qualya parvifora" 3 6.68 0.0100465689657345
"99" 1 2 99 "Qualya parvifora" 2.5 6.68 0.009511776872697
"100" 1 2 100 "Lafoensia pacari" 2.5 6.68 0.009511776872697
"101" 1 2 101 "Qualya parvifora" 2 6.68 0.00889583088507728
"102" 1 2 102 "Qualya parvifora" 4 6.37 0.00973687160514607
"103" 1 2 103 "Stenocalyx dysentericus" 3.5 6.37 0.00935450008609572
"104" 1 2 104 "Stenocalyx dysentericus" 3 6.37 0.00893171945837783
"105" 1 2 105 "Qualya parvifora" 3 6.37 0.00893171945837783
"106" 1 2 106 "Stenocalyx dysentericus" 3 6.37 0.00893171945837783
"107" 1 2 107 "Stenocalyx dysentericus" 2.5 6.37 0.0084562722723921
"108" 1 2 108 "Qualya parvifora" 2 6.37 0.00790867669208041
"109" 1 2 109 "Qualya parvifora" 2 6.37 0.00790867669208041
"110" 1 2 110 "Spondias tuberosa" 2 6.37 0.00790867669208041
"111" 1 2 111 "Vernonia polysphaera" 2 6.37 0.00790867669208041
"112" 1 2 112 "Qualya parvifora" 2 6.37 0.00790867669208041
"113" 1 2 113 "Erioteca pubescens" 3 6.05 0.00786190826985254
"114" 1 2 114 "Andira cujabensis" 2.5 6.05 0.00744340854191122
"115" 1 2 115 "Qualya parvifora" 2.5 6.05 0.00744340854191122
"116" 1 2 116 "Stenocalyx dysentericus" 2 6.05 0.00696140211062447
"117" 1 2 117 "Qualya parvifora" 2 6.05 0.00696140211062447
"118" 1 2 118 "Stenocalyx dysentericus" 2 6.05 0.00696140211062447
"119" 1 2 119 "Erioteca pubescens" 3 5.73 0.00687241210926185
"120" 1 2 120 "Stenocalyx dysentericus" 2 5.73 0.00608524324125622
"121" 1 3 121 "Cariocar braziliense" 9 42.65 1.37444833004041
"122" 1 3 122 "Cariocar braziliense" 9 30.56 0.602269582464094
"123" 1 3 123 "Cariocar braziliense" 9 26.74 0.432756768684138
"124" 1 3 124 "Pterodon emarginatus" 7.5 19.1 0.178146809872022
"125" 1 3 125 "Dimorphandra molles" 7 18.46 0.160379905038056
"126" 1 3 126 "Bowdichia virgilioides" 6 14.32 0.0816709576186845
"127" 1 3 127 "Simarouba versicolor" 5 14.01 0.0732460421374671
"128" 1 3 128 "Cariocar braziliense" 4.5 13.37 0.0632107301511257
"129" 1 3 129 "Qualya parvifora" 4 10.23 0.0314540680729141
"130" 1 3 130 "Andira cujabensis" 6 9.55 0.0299616324960626
"131" 1 3 131 "Stenocalyx dysentericus" 4 9.55 0.0265298149681613
"132" 1 3 132 "Cariocar braziliense" 5 9.55 0.0283667353517698
"133" 1 3 133 "Erioteca pubescens" 4.5 8.92 0.0232122419604221
"134" 1 3 134 "Protium spruceanum" 4 9.23 0.0243834834506907
"135" 1 3 135 "Dimorphandra molles" 4 9.23 0.0243834834506907
"136" 1 3 136 "Bowdichia virgilioides" 5 8.62 0.0220124538176435
"137" 1 3 137 "Simarouba versicolor" 3.5 8.59 0.019608601290033
"138" 1 3 138 "Qualya parvifora" 3 8.59 0.0187223821777587
"139" 1 3 139 "Pouteria ramiflora" 3 8.28 0.0170941862751468
"140" 1 3 140 "Qualya parvifora" 3 8.28 0.0170941862751468
"141" 1 3 141 "Qualya parvifora" 3 8.28 0.0170941862751468
"142" 1 3 142 "Qualya parvifora" 3 8.28 0.0170941862751468
"143" 1 3 143 "Annona cacans" 4 8.28 0.0186351460915437
"144" 1 3 144 "Byrsonima crassifólia" 4 7.96 0.0169029515076119
"145" 1 3 145 "Qualya parvifora" 3 7.96 0.0155052286819478
"146" 1 3 146 "Qualya parvifora" 3 7.96 0.0155052286819478
"147" 1 3 147 "Qualya parvifora" 3 7.32 0.0126000594169658
"148" 1 3 148 "Qualya parvifora" 2.5 7.32 0.0119293416653653
"149" 1 3 149 "Stenocalyx dysentericus" 2.5 7.32 0.0119293416653653
"150" 1 3 150 "Stenocalyx dysentericus" 3 7 0.0112802734703826
"151" 1 3 151 "Pouteria ramiflora" 3 7 0.0112802734703826
"152" 1 3 152 "Hymenaea stilbocarpa" 4 6.57 0.0105112065841774
"153" 1 3 153 "Sclerolobium paniculatum" 5 6.55 0.0111545035863723
"154" 1 3 154 "Byrsonima crassifólia" 3 7 0.0112802734703826
"155" 1 3 155 "Qualya parvifora" 2 7 0.00998822637581031
"156" 1 3 156 "Qualya parvifora" 2.5 7 0.0106798096623067
"157" 1 3 157 "Stenocalyx dysentericus" 3 6.68 0.0100465689657345
"158" 1 3 158 "Qualya parvifora" 2 6.68 0.00889583088507728
"159" 1 3 159 "Stenocalyx dysentericus" 3 6.68 0.0100465689657345
"160" 1 3 160 "Qualya parvifora" 2 6.68 0.00889583088507728
"161" 1 3 161 "Hymenaea stilbocarpa" 3 6.68 0.0100465689657345
"162" 1 3 162 "Andira cujabensis" 2 6.68 0.00889583088507728
"163" 1 3 163 "Annona cacans" 3 6.68 0.0100465689657345
"164" 1 3 164 "Qualya parvifora" 2.5 6.68 0.009511776872697
"165" 1 3 165 "Pouteria ramiflora" 2.5 6.05 0.00744340854191122
"166" 1 3 166 "Qualya parvifora" 2 6.05 0.00696140211062447
"167" 1 3 167 "Stenocalyx dysentericus" 2 6.68 0.00889583088507728
"168" 1 3 168 "Pouteria ramiflora" 2 6.68 0.00889583088507728
"169" 1 3 169 "Qualya parvifora" 2 6.68 0.00889583088507728
"170" 1 3 170 "Qualya parvifora" 3 6.05 0.00786190826985254
"171" 1 3 171 "Stenocalyx dysentericus" 2 6.05 0.00696140211062447
"172" 1 3 172 "Stenocalyx dysentericus" 3 6.05 0.00786190826985254
"173" 1 3 173 "Qualya parvifora" 2 6.05 0.00696140211062447
"174" 1 3 174 "Byrsonima crassifólia" 3.5 5.1 0.00539489975580147
"175" 1 3 175 "Simarouba versicolor" 3 5.41 0.0059611825798189
"176" 1 3 176 "Andira cujabensis" 2.5 5.41 0.00564386098279274
"177" 1 3 177 "Astronium balansae" 2.5 5.41 0.00564386098279274
"178" 1 3 178 "Pouteria ramiflora" 2.5 5.41 0.00564386098279274
"179" 1 3 179 "Annona cacans" 4 5.41 0.00649855491599507
"180" 2 4 180 "Cariocar braziliense" 6 11.95 0.0521880682238558
"181" 2 4 181 "Cariocar braziliense" 11 30.24 0.623192103438568
"182" 2 4 182 "Cariocar braziliense" 8 29.92 0.551685725102373
"183" 2 4 183 "Cariocar braziliense" 7 23.24 0.283589541321096
"184" 2 4 184 "Cariocar braziliense" 7.5 22.92 0.279753052369885
"185" 2 4 185 "Cariocar braziliense" 10 21.96 0.27432325289967
"186" 2 4 186 "Cariocar braziliense" 6 20.37 0.195391793017364
"187" 2 4 187 "Cariocar braziliense" 6 19.74 0.180773062664196
"188" 2 4 188 "Astronium balansae" 9 19.1 0.188162972634722
"189" 2 4 189 "Cariocar braziliense" 8 19.1 0.181629874737416
"190" 2 4 190 "Cariocar braziliense" 5 19.1 0.157741802076173
"191" 2 4 191 "Pouteria ramiflora" 4 13.69 0.0646949282722156
"192" 2 4 192 "Qualya parvifora" 2.5 13.37 0.0529911615711225
"193" 2 4 193 "Maprounea guianensis" 6 13.37 0.0689088776709997
"194" 2 4 194 "Cariocar braziliense" 3.5 13.37 0.0586198988764529
"195" 2 4 195 "Annona cacans" 6 10.82 0.040811775225676
"196" 2 4 196 "Pouteria ramiflora" 4 10.82 0.0361371779525584
"197" 2 4 197 "Qualya parvifora" 2 10.19 0.0253016948969984
"198" 2 4 198 "Pouteria ramiflora" 4 9.55 0.0265298149681613
"199" 2 4 199 "Qualya parvifora" 5 8.91 0.0238912846642707
"200" 2 4 200 "Qualya parvifora" 5 8.91 0.0238912846642707
"201" 2 4 201 "Bowdichia virgilioides" 5 8.91 0.0238912846642707
"202" 2 4 202 "Annona cacans" 3 8.91 0.0204965137097129
"203" 2 4 203 "Qualya parvifora" 2 8.59 0.0165779129359661
"204" 2 4 204 "Qualya parvifora" 3 8.59 0.0187223821777587
"205" 2 4 205 "Maprounea guianensis" 4 7.96 0.0169029515076119
"206" 2 4 206 "Andira cujabensis" 3.5 7.96 0.016239164666571
"207" 2 4 207 "Magonia pubescens" 3.5 7.96 0.016239164666571
"208" 2 4 208 "Cariocar braziliense" 4 7.32 0.0137358950123686
"209" 2 4 209 "Pouteria ramiflora" 3.5 7.32 0.0131964799667168
"210" 2 4 210 "Hymenaea stilbocarpa" 3 6.68 0.0100465689657345
"211" 2 4 211 "Qualya parvifora" 2 6.37 0.00790867669208041
"212" 2 4 212 "Hymenaea stilbocarpa" 4 5.73 0.00749192746563122
"213" 2 4 213 "Pouteria ramiflora" 2.5 5.73 0.00650658456468778
"214" 2 4 214 "Qualya parvifora" 2.5 5.41 0.00564386098279274
"215" 2 4 215 "Qualya parvifora" 3 5.73 0.00687241210926185
"216" 2 4 216 "Qualya parvifora" 2 5.73 0.00608524324125622
"217" 2 4 217 "Qualya parvifora" 2 6.05 0.00696140211062447
"218" 2 4 218 "Qualya parvifora" 2.5 5.09 0.00485324068336708
"219" 2 4 219 "Qualya parvifora" 4 5.14 0.00572506955088737
"220" 2 4 220 "Qualya parvifora" 2 5.41 0.0052783863113869
"221" 2 4 221 "Qualya parvifora" 2 5.73 0.00608524324125622
"222" 2 4 222 "Stenocalyx dysentericus" 2.5 5.41 0.00564386098279274
"223" 2 4 223 "Stenocalyx dysentericus" 3 5.41 0.0059611825798189
"224" 2 4 224 "Qualya parvifora" 2 5.73 0.00608524324125622
"225" 2 5 225 "Cariocar braziliense" 8.5 24.83 0.354103098232179
"226" 2 5 226 "Stenocalyx dysentericus" 7 12.73 0.0639189320995717
"227" 2 5 227 "Cariocar braziliense" 8 35.65 0.851248691358506
"228" 2 5 228 "Pterodon emarginatus" 8 27.37 0.44251765450794
"229" 2 5 229 "Cariocar braziliense" 11 25.15 0.394902688292972
"230" 2 5 230 "Cariocar braziliense" 5 20.69 0.192267820597631
"231" 2 5 231 "Cariocar braziliense" 7 18.78 0.167349827768667
"232" 2 5 232 "Astronium balansae" 7 17.51 0.140719081324343
"233" 2 5 233 "Cariocar braziliense" 6 16.55 0.116856302425599
"234" 2 5 234 "Astronium balansae" 5 16.55 0.110635887598213
"235" 2 5 235 "Astronium balansae" 4.5 16.55 0.107193331958612
"236" 2 5 236 "Pouteria ramiflora" 4 14.32 0.0723163330362916
"237" 2 5 237 "Pouteria ramiflora" 4.5 14.01 0.0709669120928429
"238" 2 5 238 "Solanum lycocarpum" 2 13.37 0.0495596583109134
"239" 2 5 239 "Andira inermis" 5 11.78 0.0476883515872199
"240" 2 5 240 "Pouteria ramiflora" 4 11.78 0.0446002378510092
"241" 2 5 241 "Pouteria ramiflora" 6 9.87 0.0325084508978025
"242" 2 5 242 "Lafoensia pacari" 4 9.87 0.0287849197580804
"243" 2 5 243 "Qualya parvifora" 3 9.87 0.0264046644894866
"244" 2 5 244 "Stenocalyx dysentericus" 4 9.23 0.0243834834506907
"245" 2 5 245 "Cecropia pachystachya" 4 8.91 0.0223441772073791
"246" 2 5 246 "Cariocar braziliense" 5 8.28 0.0199254407938686
"247" 2 5 247 "Hymenaea stilbocarpa" 6 8.28 0.021045732862266
"248" 2 5 248 "Cariocar braziliense" 4 7.96 0.0169029515076119
"249" 2 5 249 "Pouteria ramiflora" 4 7.64 0.0152705100859752
"250" 2 5 250 "Qualya parvifora" 3 7.64 0.0140077755572102
"251" 2 5 251 "Solanum lycocarpum" 3 7.32 0.0126000594169658
"252" 2 5 252 "Hymenaea stilbocarpa" 5 7.32 0.014686966309534
"253" 2 5 253 "Stenocalyx dysentericus" 2.5 7.32 0.0119293416653653
"254" 2 5 254 "Astronium balansae" 3 7 0.0112802734703826
"255" 2 5 255 "Hymenaea stilbocarpa" 5 6.68 0.0117105495333993
"256" 2 5 256 "Qualya parvifora" 2 6.68 0.00889583088507728
"257" 2 5 257 "Andira cujabensis" 2.2 5.73 0.00626176347253283
"258" 2 5 258 "Magonia pubescens" 2.5 5.73 0.00650658456468778
"259" 2 5 259 "Qualya parvifora" 2.5 5.73 0.00650658456468778
"260" 2 6 260 "Qualya parvifora" 2 10.19 0.0253016948969984
"261" 2 6 261 "Stenocalyx dysentericus" 2 10.5 0.0272499580261646
"262" 2 6 262 "Stenocalyx dysentericus" 2 9.23 0.0198052408472026
"263" 2 6 263 "Sclerolobium paniculatum" 2.5 14.96 0.0699839093565046
"264" 2 6 264 "Stenocalyx dysentericus" 2 8.59 0.0165779129359661
"265" 2 6 265 "Spondias tuberosa" 4 21.96 0.208387596045748
"266" 2 6 266 "Sclerolobium paniculatum" 7 27.69 0.437549722652612
"267" 2 6 267 "Cariocar braziliense" 2 9.55 0.0215485771808897
"268" 2 6 268 "Solanum lycocarpum" 2.5 11.14 0.0337322907189414
"269" 2 6 269 "Cariocar braziliense" 4 24.83 0.282432613255603
"270" 2 6 270 "Stenocalyx dysentericus" 2 10.19 0.0253016948969984
"271" 2 6 271 "Sclerolobium paniculatum" 4 20.69 0.179817298026456
"272" 2 6 272 "Stenocalyx dysentericus" 2 10.82 0.0293520617895293
"273" 2 6 273 "Stenocalyx dysentericus" 2.5 13.37 0.0529911615711225
"274" 2 6 274 "Sclerolobium paniculatum" 3.5 21.65 0.193281135696047
"275" 2 6 275 "Stenocalyx dysentericus" 2 11.78 0.0362260976479445
"276" 2 6 276 "Stenocalyx dysentericus" 3 13.05 0.052712942046072
"277" 2 6 277 "Dipteryx alata" 2 23 0.189800999187261
"278" 2 6 278 "Cariocar braziliense" 2 24 0.210887257543886
"279" 2 6 279 "Dipteryx alata" 2.5 14.64 0.0663367084206854
"280" 2 6 280 "Palicourea rigida" 2 10.82 0.0293520617895293
"281" 2 6 281 "Palicourea rigida" 2 11.46 0.033838833515529
"282" 2 6 282 "Alibertia edulis" 2 9.87 0.0233802635185021
"283" 2 6 283 "Dipteryx alata" 2 12 0.0379238917336519
"284" 2 6 284 "Stenocalyx dysentericus" 2.5 9.23 0.0211765527337786
"285" 2 6 285 "Cariocar braziliense" 3 15.92 0.0862215085226935
"286" 2 6 286 "Stenocalyx dysentericus" 2 12.1 0.0387109796136011
"287" 2 6 287 "Cariocar braziliense" 3 17.83 0.114135442635266
"288" 2 6 288 "Cariocar braziliense" 2 12.1 0.0387109796136011
"289" 2 6 289 "Cariocar braziliense" 3.5 26 0.304097954474376
"290" 2 6 290 "Qualya parvifora" 2.5 5.73 0.00650658456468778
"291" 2 6 291 "Qualya parvifora" 2.2 5.73 0.00626176347253283
